#id,timestamp|gmt_local_diff_sec|gmt_servertime_diff_sec,name,lat,lon,bikes,spaces,installed,locked,temporary,total_docks,givesbonus_acceptspedelecs_fbbattlevel,pedelecs
73,1661426821|-3600|-3600,"Old Street Station, St. Luke's",51.52548,-0.089659871,8,19,true,false,false,29,false,0
74,1661426821|-3600|-3600,"Vauxhall Cross, Vauxhall",51.48591714,-0.124469948,9,5,true,false,false,17,false,0
75,1661426821|-3600|-3600,"Torrens Street, Angel",51.53219984,-0.105480698,2,15,true,false,false,19,false,0
76,1661426821|-3600|-3600,"Longford Street, The Regent's Park",51.52559505,-0.144083893,1,18,true,false,false,21,false,0
77,1661426821|-3600|-3600,"Russell Square Station, Bloomsbury",51.52341837,-0.124121774,9,13,true,false,false,26,false,0
78,1661426821|-3600|-3600,"Sadlers Sports Centre, Finsbury",51.52486887,-0.099489485,3,14,true,false,false,17,false,0
79,1661426821|-3600|-3600,"Arundel Street, Temple",51.511726,-0.11385596,5,11,true,false,false,18,false,0
80,1661426821|-3600|-3600,"Webber Street , Southwark",51.50069361,-0.102091246,28,17,true,false,false,45,false,0
81,1661426821|-3600|-3600,"Great Titchfield Street, Fitzrovia",51.52025302,-0.141327271,1,18,true,false,false,19,false,0
82,1661426821|-3600|-3600,"Chancery Lane, Holborn",51.514274,-0.111257,10,5,true,false,false,15,false,0
83,1661426821|-3600|-3600,"Panton Street, West End",51.50963938,-0.131510949,0,21,true,false,false,21,false,0
84,1661426821|-3600|-3600,"Breams Buildings, Holborn",51.51593725,-0.111778348,11,12,true,false,false,25,false,0
85,1661426821|-3600|-3600,"Tanner Street, Bermondsey",51.50064702,-0.078600401,27,14,true,false,false,41,false,0
86,1661426821|-3600|-3600,"Sancroft Street, Vauxhall",51.48947903,-0.115156562,23,1,true,false,false,24,false,0
87,1661426821|-3600|-3600,"Devonshire Square, Liverpool Street",51.51646835,-0.079684557,9,5,true,false,false,16,false,0
88,1661426821|-3600|-3600,"Bayley Street , Bloomsbury",51.51858757,-0.132053392,7,16,true,false,false,25,false,0
89,1661426821|-3600|-3600,"Tavistock Place, Bloomsbury",51.5262503,-0.123509611,1,17,true,false,false,19,false,0
90,1661426821|-3600|-3600,"Harrington Square 1, Camden Town",51.53301907,-0.139174593,5,22,true,false,false,27,false,0
91,1661426821|-3600|-3600,"Walnut Tree Walk, Vauxhall",51.49368637,-0.111014912,10,9,true,false,false,20,false,0
92,1661426821|-3600|-3600,"Borough Road, Elephant &amp; Castle",51.49889832,-0.100440521,8,32,true,false,false,41,false,0
93,1661426821|-3600|-3600,"Cloudesley Road, Angel",51.53440868,-0.109025404,14,23,true,false,false,37,false,0
94,1661426821|-3600|-3600,"Bricklayers Arms, Borough",51.49506109,-0.085814489,10,17,true,false,false,28,false,0
95,1661426821|-3600|-3600,"Aldersgate Street, Barbican",51.5208417,-0.097340162,1,14,true,false,false,15,false,0
96,1661426821|-3600|-3600,"Falkirk Street, Hoxton",51.53095071,-0.078505384,16,9,true,false,false,26,false,0
97,1661426821|-3600|-3600,"Gloucester Road (North), Kensington",51.49792478,-0.183834706,3,15,true,false,false,18,false,0
98,1661426821|-3600|-3600,"Hampstead Road, Euston",51.52554222,-0.138231303,8,38,true,false,false,54,false,0
99,1661426821|-3600|-3600,"Old Quebec Street, Marylebone",51.51457763,-0.158264483,0,15,true,false,false,16,false,0
100,1661426821|-3600|-3600,"Albert Embankment, Vauxhall",51.49043573,-0.122806861,7,16,true,false,false,24,false,0
101,1661426821|-3600|-3600,"Queen Street 1, Bank",51.51155322,-0.0929401,5,15,true,false,false,22,false,0
102,1661426821|-3600|-3600,"Jewry Street, Aldgate",51.51340693,-0.076793375,3,14,true,false,false,17,false,0
103,1661426821|-3600|-3600,"Vicarage Gate, Kensington",51.50472376,-0.192538767,0,18,true,false,false,18,false,0
104,1661426821|-3600|-3600,"Crosswall, Tower",51.51159481,-0.077121322,9,23,true,false,false,34,false,0
105,1661426821|-3600|-3600,"Westbourne Grove, Bayswater",51.51552971,-0.190240716,9,15,true,false,false,26,false,0
106,1661426821|-3600|-3600,"Woodstock Street, Mayfair",51.51410514,-0.147301667,3,18,true,false,false,21,false,0
107,1661426821|-3600|-3600,"Finsbury Leisure Centre, St. Luke's",51.52600832,-0.096317627,6,13,true,false,false,20,false,0
108,1661426821|-3600|-3600,"Abbey Orchard Street, Westminster",51.49812559,-0.132102166,12,17,true,false,false,29,false,0
109,1661426821|-3600|-3600,"Soho Square , Soho",51.51563144,-0.132328837,10,46,true,false,false,57,false,0
110,1661426821|-3600|-3600,"Wellington Road, St. John's Wood",51.53304322,-0.172528678,7,9,true,false,false,17,false,0
111,1661426821|-3600|-3600,"Park Lane , Hyde Park",51.5100172,-0.157275636,1,23,true,false,false,28,false,0
112,1661426821|-3600|-3600,"Stonecutter Street, Holborn",51.51580998,-0.105270275,2,19,true,false,false,21,false,0
113,1661426821|-3600|-3600,"Gloucester Road (Central), South Kensington",51.49646288,-0.183289032,10,9,true,false,false,19,false,0
114,1661426821|-3600|-3600,"Park Road (Baker Street), The Regent's Park",51.52451738,-0.158963647,0,19,true,false,false,22,false,0
115,1661426821|-3600|-3600,"Braham Street, Aldgate",51.51423368,-0.073537654,9,24,true,false,false,34,false,0
116,1661426821|-3600|-3600,"Little Argyll Street, West End",51.51449962,-0.141423695,9,12,true,false,false,21,false,0
117,1661426821|-3600|-3600,"Lollard Street, Vauxhall",51.49288067,-0.114934001,12,13,true,false,false,25,false,0
118,1661426821|-3600|-3600,"Rochester Row, Westminster",51.49582705,-0.13547809,4,9,true,false,false,13,false,0
119,1661426821|-3600|-3600,"Bath Street, St. Luke's",51.52589324,-0.090847761,7,11,true,false,false,18,false,0
120,1661426821|-3600|-3600,"The Guildhall, Guildhall",51.51573534,-0.093080779,8,8,true,false,false,17,false,0
121,1661426821|-3600|-3600,"Baker Street, Marylebone",51.51891348,-0.156166631,4,18,true,false,false,22,false,0
122,1661426821|-3600|-3600,"Norton Folgate, Liverpool Street",51.52111369,-0.078869751,15,8,true,false,false,23,false,0
123,1661426821|-3600|-3600,"St. John Street, Finsbury",51.52836014,-0.104724625,12,6,true,false,false,18,false,0
124,1661426821|-3600|-3600,"Eaton Square, Belgravia",51.49654462,-0.150905245,6,13,true,false,false,20,false,0
126,1661426821|-3600|-3600,"Museum of London, Barbican",51.51782144,-0.096496865,10,42,true,false,false,52,false,0
127,1661426821|-3600|-3600,"Wood Street, Guildhall",51.51700801,-0.09388536,4,13,true,false,false,17,false,0
128,1661426821|-3600|-3600,"Emperor's Gate, South Kensington",51.49536226,-0.185296516,12,9,true,false,false,22,false,0
129,1661426821|-3600|-3600,"Golden Square, Soho",51.5118973,-0.137043852,4,13,true,false,false,18,false,0
130,1661426821|-3600|-3600,"Tower Gardens , Tower",51.50950627,-0.075459482,16,7,true,false,false,24,false,0
131,1661426821|-3600|-3600,"Eversholt Street , Camden Town",51.53300545,-0.136792671,0,16,true,false,false,16,false,0
132,1661426821|-3600|-3600,"Bethnal Green Road, Shoreditch",51.52364804,-0.074754872,6,32,true,false,false,38,false,0
133,1661426821|-3600|-3600,"Derry Street, Kensington",51.50136494,-0.191462381,8,10,true,false,false,18,false,0
134,1661426821|-3600|-3600,"Wapping High Street, Wapping",51.504904,-0.06797,17,2,true,false,false,20,false,0
135,1661426821|-3600|-3600,"Clerkenwell Green, Clerkenwell",51.52326004,-0.104708922,7,11,true,false,false,21,false,0
136,1661426821|-3600|-3600,"Queen Victoria Street, St. Paul's",51.51196176,-0.097441687,4,25,true,false,false,32,false,0
138,1661426821|-3600|-3600,"Green Street, Mayfair",51.51227622,-0.157436972,4,15,true,false,false,19,false,0
139,1661426821|-3600|-3600,"Lambeth Road, Vauxhall",51.49488108,-0.117974901,5,12,true,false,false,18,false,0
140,1661426821|-3600|-3600,"Finsbury Square , Moorgate",51.52096262,-0.085634242,4,28,true,false,false,33,false,0
141,1661426821|-3600|-3600,"Chapel Place, Marylebone",51.51530805,-0.147203711,4,24,true,false,false,29,false,0
142,1661426821|-3600|-3600,"West Cromwell Road, Earl's Court",51.49372451,-0.198286569,14,10,true,false,false,24,false,0
143,1661426821|-3600|-3600,"Pont Street, Knightsbridge",51.4968865,-0.161203828,5,17,true,false,false,24,false,0
144,1661426821|-3600|-3600,"Kennington Cross, Kennington",51.48894022,-0.111435796,27,19,true,false,false,47,false,0
145,1661426821|-3600|-3600,"Ilchester Place, Kensington",51.50074359,-0.202759212,3,21,true,false,false,24,false,0
146,1661426821|-3600|-3600,"Vauxhall Bridge , Pimlico",51.48836528,-0.129361842,6,28,true,false,false,35,false,0
147,1661426821|-3600|-3600,"Portugal Street, Holborn",51.51494305,-0.11614642,4,11,true,false,false,16,false,0
148,1661426821|-3600|-3600,"Tachbrook Street, Victoria",51.49211134,-0.138364847,12,3,true,false,false,16,false,0
149,1661426821|-3600|-3600,"Kennington Road Post Office, Oval",51.48478899,-0.110683213,10,8,true,false,false,18,false,0
150,1661426821|-3600|-3600,"Holy Trinity Brompton, Knightsbridge",51.49705603,-0.168917077,1,26,true,false,false,28,false,0
151,1661426821|-3600|-3600,"Chepstow Villas, Notting Hill",51.51213691,-0.201554966,1,24,true,false,false,26,false,0
152,1661426821|-3600|-3600,"Hampton Street, Walworth",51.49217002,-0.101536865,13,8,true,false,false,21,false,0
153,1661426821|-3600|-3600,"Bayswater Road, Hyde Park",51.511933,-0.174411,3,22,true,false,false,27,false,0
154,1661426821|-3600|-3600,"Waterloo Station 3, Waterloo",51.50379168,-0.11282408,10,24,true,false,false,35,false,0
155,1661426821|-3600|-3600,"Lexham Gardens, Kensington",51.49586666,-0.191933711,5,13,true,false,false,19,false,0
156,1661426821|-3600|-3600,"New Kent Road, The Borough",51.49443626,-0.092921165,31,1,true,false,false,33,false,0
157,1661426821|-3600|-3600,"Wright's Lane, Kensington",51.50039792,-0.193068385,8,29,true,false,false,37,false,0
158,1661426821|-3600|-3600,"Trebovir Road, Earl's Court",51.49085368,-0.196170309,14,3,true,false,false,18,false,0
160,1661426821|-3600|-3600,"Waterloo Place, St. James's",51.50663341,-0.131773845,5,12,true,false,false,20,false,0
161,1661426821|-3600|-3600,"Guildhouse Street, Victoria",51.49234577,-0.141334487,12,3,true,false,false,16,false,0
162,1661426821|-3600|-3600,"Southampton Place, Holborn",51.51760685,-0.121328408,2,17,true,false,false,20,false,0
163,1661426821|-3600|-3600,"Sloane Avenue, Knightsbridge",51.4931848,-0.167894973,4,21,true,false,false,27,false,0
164,1661426821|-3600|-3600,"Cleveland Gardens, Bayswater",51.515607,-0.183118788,8,7,true,false,false,16,false,0
165,1661426821|-3600|-3600,"Orsett Terrace, Bayswater",51.517932,-0.183716959,9,6,true,false,false,15,false,0
166,1661426821|-3600|-3600,"Seville Street, Knightsbridge",51.50185512,-0.159237081,3,23,true,false,false,27,false,0
167,1661426821|-3600|-3600,"Eccleston Place, Victoria",51.49395092,-0.147624377,7,8,true,false,false,19,false,0
168,1661426821|-3600|-3600,"Argyll Road, Kensington",51.50040123,-0.195455928,4,15,true,false,false,19,false,0
169,1661426821|-3600|-3600,"Porchester Place, Paddington",51.51474612,-0.165164288,3,15,true,false,false,18,false,0
170,1661426821|-3600|-3600,"Hardwick Street, Clerkenwell",51.52784273,-0.108068155,8,21,true,false,false,30,false,0
171,1661426821|-3600|-3600,"Collingham Gardens, Earl's Court",51.4916156,-0.186753859,9,5,true,false,false,14,false,0
172,1661426821|-3600|-3600,"Sumner Place, South Kensington",51.49121192,-0.173715911,3,15,true,false,false,19,false,0
173,1661426821|-3600|-3600,"Waterloo Road, South Bank",51.50486,-0.113001,8,7,true,false,false,15,false,0
174,1661426821|-3600|-3600,"Strand, Strand",51.512582,-0.1150573,8,26,true,false,false,35,false,0
175,1661426821|-3600|-3600,"Worship Street, Shoreditch",51.521668,-0.079608554,12,38,true,false,false,51,false,0
176,1661426821|-3600|-3600,"Gloucester Terrace, Bayswater",51.51791921,-0.188098863,8,15,true,false,false,23,false,0
177,1661426821|-3600|-3600,"Ashley Place, Victoria",51.49616092,-0.140947636,3,22,true,false,false,25,false,0
178,1661426821|-3600|-3600,"Warwick Square, Pimlico",51.48985626,-0.141923621,12,6,true,false,false,19,false,0
180,1661426821|-3600|-3600,"North Audley Street, Mayfair",51.5129118,-0.153645496,8,7,true,false,false,17,false,0
181,1661426821|-3600|-3600,"Belgrave Square, Belgravia",51.49941247,-0.152317537,2,19,true,false,false,21,false,0
182,1661426821|-3600|-3600,"Bell Street , Marylebone",51.52202903,-0.165842551,5,13,true,false,false,18,false,0
183,1661426821|-3600|-3600,"Riverlight North, Nine Elms",51.482362,-0.13612398,19,4,true,false,false,24,false,0
184,1661426821|-3600|-3600,"Portland Place, Marylebone",51.52071513,-0.14521173,4,29,true,false,false,34,false,0
185,1661426821|-3600|-3600,"Alderney Street, Pimlico",51.48805753,-0.140741432,11,2,true,false,false,14,false,0
186,1661426821|-3600|-3600,"South Wharf Road, Paddington",51.51733558,-0.175810943,13,3,true,false,false,16,false,0
187,1661426821|-3600|-3600,"Queen's Gate (South), South Kensington",51.49247977,-0.178433004,2,23,true,false,false,25,false,0
188,1661426821|-3600|-3600,"Nutford Place, Marylebone",51.5165179,-0.164393768,0,18,true,false,false,18,false,0
189,1661426821|-3600|-3600,"Claremont Square, Angel",51.53166681,-0.109914711,4,13,true,false,false,18,false,0
190,1661426821|-3600|-3600,"Rampayne Street, Pimlico",51.48997562,-0.132845681,14,5,true,false,false,21,false,0
191,1661426821|-3600|-3600,"Hyde Park Corner, Hyde Park",51.50311799,-0.153520935,7,24,true,false,false,36,false,0
192,1661426821|-3600|-3600,"Wardour Street, Soho",51.51251523,-0.133201961,7,7,true,false,false,16,false,0
193,1661426821|-3600|-3600,"Bankside Mix, Bankside",51.50581776,-0.100186337,7,53,true,false,false,60,false,0
194,1661426821|-3600|-3600,"Hop Exchange, The Borough",51.50462759,-0.091773776,9,45,true,false,false,56,false,0
195,1661426821|-3600|-3600,"Milroy Walk, South Bank",51.50724437,-0.106237501,11,17,true,false,false,30,false,0
196,1661426821|-3600|-3600,"Union Street, The Borough",51.50368837,-0.098497684,9,7,true,false,false,17,false,0
197,1661426821|-3600|-3600,"Stamford Street, South Bank",51.50556905,-0.111606696,18,8,true,false,false,27,false,0
199,1661426821|-3600|-3600,"Great Tower Street, Monument",51.51048489,-0.082989638,7,16,true,false,false,24,false,0
200,1661426821|-3600|-3600,"LMU Commercial Road, Whitechapel",51.51492456,-0.066078037,13,1,true,false,false,14,false,0
201,1661426821|-3600|-3600,"Dorset Square, Marylebone",51.5225965,-0.161113413,4,12,true,false,false,16,false,0
202,1661426821|-3600|-3600,"Leman Street, Aldgate",51.51236389,-0.06954201,14,23,true,false,false,37,false,0
203,1661426821|-3600|-3600,"West Smithfield Rotunda, Farringdon",51.51821864,-0.100791005,1,14,true,false,false,15,false,0
204,1661426821|-3600|-3600,"Margery Street, Clerkenwell",51.52659961,-0.112432615,5,13,true,false,false,19,false,0
206,1661426821|-3600|-3600,"New Road 1 , Whitechapel",51.518154,-0.062697,7,29,true,false,false,36,false,0
207,1661426821|-3600|-3600,"Grosvenor Crescent, Belgravia",51.50135267,-0.153194766,1,15,true,false,false,18,false,0
208,1661426821|-3600|-3600,"Mallory Street, Marylebone",51.52505151,-0.166304359,9,11,true,false,false,20,false,0
209,1661426821|-3600|-3600,"Denyer Street, Knightsbridge",51.49358391,-0.165101392,6,22,true,false,false,30,false,0
210,1661426821|-3600|-3600,"Hinde Street, Marylebone",51.51681444,-0.151926305,3,17,true,false,false,21,false,0
211,1661426821|-3600|-3600,"Cadogan Place, Knightsbridge",51.49464523,-0.158105512,5,27,true,false,false,34,false,0
212,1661426821|-3600|-3600,"Campden Hill Road, Notting Hill",51.50658458,-0.199004026,1,16,true,false,false,17,false,0
213,1661426821|-3600|-3600,"Wellington Arch, Hyde Park",51.50274025,-0.149569201,0,34,true,false,false,36,false,0
214,1661426821|-3600|-3600,"Endsleigh Gardens, Euston",51.52683806,-0.130504336,6,23,true,false,false,32,false,0
215,1661426821|-3600|-3600,"Moorfields, Moorgate",51.51906932,-0.088285377,32,20,true,false,false,54,false,0
216,1661426821|-3600|-3600,"Old Brompton Road, South Kensington",51.49094565,-0.181190899,6,24,true,false,false,30,false,0
217,1661426821|-3600|-3600,"Wormwood Street, Liverpool Street",51.51615461,-0.082422399,0,14,true,false,false,16,false,0
218,1661426821|-3600|-3600,"St. Luke's Church, Chelsea",51.48971651,-0.170194408,5,15,true,false,false,20,false,0
219,1661426821|-3600|-3600,"Bramham Gardens, Earl's Court",51.49016361,-0.19039362,10,18,true,false,false,29,false,0
220,1661426821|-3600|-3600,"Chelsea Green, Chelsea",51.49066456,-0.166485083,0,27,true,true,false,27,false,0
221,1661426821|-3600|-3600,"Horseferry Road, Westminster",51.49481649,-0.13045856,10,6,true,false,false,16,false,0
222,1661426821|-3600|-3600,"Knightsbridge, Hyde Park",51.50275704,-0.155349725,1,42,true,false,false,43,false,0
223,1661426821|-3600|-3600,"Rodney Road , Walworth",51.49148474,-0.090220911,15,9,true,false,false,24,false,0
224,1661426821|-3600|-3600,"Queensway, Kensington Gardens",51.51031,-0.18740235,9,6,true,false,false,17,false,0
225,1661426821|-3600|-3600,"Notting Hill Gate Station, Notting Hill",51.50935342,-0.196422,1,29,true,false,false,30,false,0
226,1661426821|-3600|-3600,"Charles II Street, West End",51.50844614,-0.131961389,2,22,true,false,false,24,false,0
227,1661426821|-3600|-3600,"Great Percy Street, Clerkenwell",51.52891573,-0.115480888,18,4,true,false,false,23,false,0
228,1661426821|-3600|-3600,"St. James's Square, St. James's",51.50742485,-0.134621209,1,39,true,false,false,40,false,0
229,1661426821|-3600|-3600,"Whitehall Place, Strand",51.50654321,-0.123179697,12,32,true,false,false,46,false,0
230,1661426821|-3600|-3600,"Poured Lines, Bankside",51.50669284,-0.103137426,2,29,true,false,false,31,false,0
231,1661426821|-3600|-3600,"Queen's Gate (Central), South Kensington",51.49396755,-0.17873226,2,29,true,false,false,31,false,0
232,1661426821|-3600|-3600,"Carey Street, Holborn",51.51501025,-0.112753217,7,6,true,false,false,16,false,0
233,1661426821|-3600|-3600,"Pall Mall East, West End",51.50777049,-0.130699733,2,19,true,false,false,22,false,0
234,1661426821|-3600|-3600,"Liverpool Road (N1 Centre), Angel",51.53450449,-0.106992706,17,4,true,false,false,24,false,0
235,1661426821|-3600|-3600,"Kennington Road  , Vauxhall",51.49571828,-0.110889274,19,15,true,false,false,36,false,0
236,1661426821|-3600|-3600,"Fashion Street, Whitechapel",51.51838043,-0.073438925,3,27,true,false,false,30,false,0
237,1661426821|-3600|-3600,"Dock Street, Wapping",51.5097860151,-0.0681619805156,22,7,true,false,false,30,false,0
238,1661426821|-3600|-3600,"Frampton Street, Paddington",51.5233534,-0.175116099,20,12,true,false,false,32,false,0
239,1661426821|-3600|-3600,"Warren Street Station, Euston",51.52443845,-0.138019439,10,13,true,false,false,26,false,0
242,1661426821|-3600|-3600,"Beaumont Street, Marylebone",51.52200801,-0.151359288,5,17,true,false,false,23,false,0
243,1661426821|-3600|-3600,"Gloucester Street, Pimlico",51.49096258,-0.139625122,19,4,true,false,false,25,false,0
244,1661426821|-3600|-3600,"Earnshaw Street , Covent Garden",51.51611887,-0.128585022,3,15,true,false,false,18,false,0
245,1661426821|-3600|-3600,"Grosvenor Road, Pimlico",51.4853572,-0.142207481,5,23,true,false,false,29,false,0
