#id,timestamp|gmt_local_diff_sec|gmt_servertime_diff_sec,name,lat,lon,bikes,spaces,installed,locked,temporary,total_docks,givesbonus_acceptspedelecs_fbbattlevel,pedelecs
99,1664222967|-3600|-3600,"Old Quebec Street, Marylebone",51.51457763,-0.158264483,4,12,true,false,false,16,true,0
100,1664222967|-3600|-3600,"Albert Embankment, Vauxhall",51.49043573,-0.122806861,16,8,true,false,false,24,true,0
101,1664222967|-3600|-3600,"Queen Street 1, Bank",51.51155322,-0.0929401,2,20,true,false,false,22,true,0
102,1664222967|-3600|-3600,"Jewry Street, Aldgate",51.51340693,-0.076793375,0,17,true,false,false,17,true,0
103,1664222967|-3600|-3600,"Vicarage Gate, Kensington",51.50472376,-0.192538767,2,16,true,false,false,18,true,0
104,1664222967|-3600|-3600,"Crosswall, Tower",51.51159481,-0.077121322,28,6,true,false,false,34,true,0
105,1664222967|-3600|-3600,"Westbourne Grove, Bayswater",51.51552971,-0.190240716,14,12,true,false,false,26,true,0
106,1664222967|-3600|-3600,"Woodstock Street, Mayfair",51.51410514,-0.147301667,0,21,true,false,false,21,true,0
107,1664222967|-3600|-3600,"Finsbury Leisure Centre, St. Luke's",51.52600832,-0.096317627,5,15,true,false,false,20,true,0
108,1664222967|-3600|-3600,"Abbey Orchard Street, Westminster",51.49812559,-0.132102166,4,25,true,false,false,29,true,0
109,1664222967|-3600|-3600,"Soho Square , Soho",51.51563144,-0.132328837,7,50,true,false,false,57,true,0
110,1664222967|-3600|-3600,"Wellington Road, St. John's Wood",51.53304322,-0.172528678,16,1,true,false,false,17,true,0
111,1664222967|-3600|-3600,"Park Lane , Hyde Park",51.5100172,-0.157275636,0,28,true,false,false,28,true,0
112,1664222967|-3600|-3600,"Stonecutter Street, Holborn",51.51580998,-0.105270275,0,21,true,false,false,21,true,0
113,1664222967|-3600|-3600,"Gloucester Road (Central), South Kensington",51.49646288,-0.183289032,13,6,true,false,false,19,true,0
114,1664222967|-3600|-3600,"Park Road (Baker Street), The Regent's Park",51.52451738,-0.158963647,6,16,true,false,false,22,true,0
115,1664222967|-3600|-3600,"Braham Street, Aldgate",51.51423368,-0.073537654,6,28,true,false,false,34,true,0
116,1664222967|-3600|-3600,"Little Argyll Street, West End",51.51449962,-0.141423695,1,20,true,false,false,21,true,0
117,1664222967|-3600|-3600,"Lollard Street, Vauxhall",51.49288067,-0.114934001,21,4,true,false,false,25,true,0
118,1664222967|-3600|-3600,"Rochester Row, Westminster",51.49582705,-0.13547809,10,3,true,false,false,13,true,0
119,1664222967|-3600|-3600,"Bath Street, St. Luke's",51.52589324,-0.090847761,2,16,true,false,false,18,true,0
120,1664222967|-3600|-3600,"The Guildhall, Guildhall",51.51573534,-0.093080779,0,17,true,false,false,17,true,0
121,1664222967|-3600|-3600,"Baker Street, Marylebone",51.51891348,-0.156166631,0,22,true,false,false,22,true,0
122,1664222967|-3600|-3600,"Norton Folgate, Liverpool Street",51.52111369,-0.078869751,2,21,true,false,false,23,true,0
123,1664222967|-3600|-3600,"St. John Street, Finsbury",51.52836014,-0.104724625,15,3,true,false,false,18,true,0
124,1664222967|-3600|-3600,"Eaton Square, Belgravia",51.49654462,-0.150905245,1,19,true,false,false,20,true,0
125,1664222967|-3600|-3600,"Borough High Street, The Borough",51.50069491,-0.094524319,7,14,true,false,false,21,true,0
126,1664222967|-3600|-3600,"Museum of London, Barbican",51.51782144,-0.096496865,1,51,true,false,false,52,true,0
127,1664222967|-3600|-3600,"Wood Street, Guildhall",51.51700801,-0.09388536,0,17,true,false,false,17,true,0
128,1664222967|-3600|-3600,"Emperor's Gate, South Kensington",51.49536226,-0.185296516,7,15,true,false,false,22,true,0
129,1664222967|-3600|-3600,"Golden Square, Soho",51.5118973,-0.137043852,0,18,true,false,false,18,true,0
130,1664222967|-3600|-3600,"Tower Gardens , Tower",51.50950627,-0.075459482,19,5,true,false,false,24,true,0
131,1664222967|-3600|-3600,"Eversholt Street , Camden Town",51.53300545,-0.136792671,13,3,true,false,false,16,true,0
132,1664222967|-3600|-3600,"Bethnal Green Road, Shoreditch",51.52364804,-0.074754872,32,6,true,false,false,38,true,0
133,1664222967|-3600|-3600,"Derry Street, Kensington",51.50136494,-0.191462381,1,17,true,false,false,18,true,0
134,1664222967|-3600|-3600,"Wapping High Street, Wapping",51.504904,-0.06797,3,17,true,false,false,20,true,0
135,1664222967|-3600|-3600,"Clerkenwell Green, Clerkenwell",51.52326004,-0.104708922,1,20,true,false,false,21,true,0
136,1664222967|-3600|-3600,"Queen Victoria Street, St. Paul's",51.51196176,-0.097441687,0,32,true,false,false,32,true,0
138,1664222967|-3600|-3600,"Green Street, Mayfair",51.51227622,-0.157436972,1,18,true,false,false,19,true,0
139,1664222967|-3600|-3600,"Lambeth Road, Vauxhall",51.49488108,-0.117974901,1,17,true,false,false,18,true,0
140,1664222967|-3600|-3600,"Finsbury Square , Moorgate",51.52096262,-0.085634242,7,26,true,false,false,33,true,0
141,1664222967|-3600|-3600,"Chapel Place, Marylebone",51.51530805,-0.147203711,0,29,true,false,false,29,true,0
142,1664222967|-3600|-3600,"West Cromwell Road, Earl's Court",51.49372451,-0.198286569,6,18,true,false,false,24,true,0
143,1664222967|-3600|-3600,"Pont Street, Knightsbridge",51.4968865,-0.161203828,7,17,true,false,false,24,true,0
144,1664222967|-3600|-3600,"Kennington Cross, Kennington",51.48894022,-0.111435796,47,0,true,false,false,47,true,0
145,1664222967|-3600|-3600,"Ilchester Place, Kensington",51.50074359,-0.202759212,11,13,true,false,false,24,true,0
146,1664222967|-3600|-3600,"Vauxhall Bridge , Pimlico",51.48836528,-0.129361842,3,32,true,false,false,35,true,0
147,1664222967|-3600|-3600,"Portugal Street, Holborn",51.51494305,-0.11614642,0,16,true,false,false,16,true,0
148,1664222967|-3600|-3600,"Tachbrook Street, Victoria",51.49211134,-0.138364847,14,2,true,false,false,16,true,0
149,1664222967|-3600|-3600,"Kennington Road Post Office, Oval",51.48478899,-0.110683213,18,0,true,false,false,18,true,0
150,1664222967|-3600|-3600,"Holy Trinity Brompton, Knightsbridge",51.49705603,-0.168917077,16,12,true,false,false,28,true,0
151,1664222967|-3600|-3600,"Chepstow Villas, Notting Hill",51.51213691,-0.201554966,25,1,true,false,false,26,true,0
152,1664222967|-3600|-3600,"Hampton Street, Walworth",51.49217002,-0.101536865,18,3,true,false,false,21,true,0
153,1664222967|-3600|-3600,"Bayswater Road, Hyde Park",51.511933,-0.174411,25,2,true,false,false,27,true,0
154,1664222967|-3600|-3600,"Waterloo Station 3, Waterloo",51.50379168,-0.11282408,34,1,true,false,false,35,true,0
155,1664222967|-3600|-3600,"Lexham Gardens, Kensington",51.49586666,-0.191933711,6,13,true,false,false,19,true,0
156,1664222967|-3600|-3600,"New Kent Road, The Borough",51.49443626,-0.092921165,22,11,true,false,false,33,true,0
157,1664222967|-3600|-3600,"Wright's Lane, Kensington",51.50039792,-0.193068385,10,27,true,false,false,37,true,0
158,1664222967|-3600|-3600,"Trebovir Road, Earl's Court",51.49085368,-0.196170309,10,8,true,false,false,18,true,0
160,1664222967|-3600|-3600,"Waterloo Place, St. James's",51.50663341,-0.131773845,1,19,true,false,false,20,true,0
161,1664222967|-3600|-3600,"Guildhouse Street, Victoria",51.49234577,-0.141334487,5,11,true,false,false,16,true,0
162,1664222967|-3600|-3600,"Southampton Place, Holborn",51.51760685,-0.121328408,0,20,true,false,false,20,true,0
163,1664222967|-3600|-3600,"Sloane Avenue, Knightsbridge",51.4931848,-0.167894973,4,23,true,false,false,27,true,0
164,1664222967|-3600|-3600,"Cleveland Gardens, Bayswater",51.515607,-0.183118788,5,11,true,false,false,16,true,0
165,1664222967|-3600|-3600,"Orsett Terrace, Bayswater",51.517932,-0.183716959,2,13,true,false,false,15,true,0
166,1664222967|-3600|-3600,"Seville Street, Knightsbridge",51.50185512,-0.159237081,8,19,true,false,false,27,true,0
167,1664222967|-3600|-3600,"Eccleston Place, Victoria",51.49395092,-0.147624377,15,4,true,false,false,19,true,0
168,1664222967|-3600|-3600,"Argyll Road, Kensington",51.50040123,-0.195455928,19,0,true,false,false,19,true,0
169,1664222967|-3600|-3600,"Porchester Place, Paddington",51.51474612,-0.165164288,11,7,true,false,false,18,true,0
170,1664222967|-3600|-3600,"Hardwick Street, Clerkenwell",51.52784273,-0.108068155,10,20,true,false,false,30,true,0
171,1664222967|-3600|-3600,"Collingham Gardens, Earl's Court",51.4916156,-0.186753859,12,2,true,false,false,14,true,0
172,1664222967|-3600|-3600,"Sumner Place, South Kensington",51.49121192,-0.173715911,9,10,true,false,false,19,true,0
173,1664222967|-3600|-3600,"Waterloo Road, South Bank",51.50486,-0.113001,9,6,true,false,false,15,true,0
174,1664222967|-3600|-3600,"Strand, Strand",51.512582,-0.1150573,2,33,true,false,false,35,true,0
175,1664222967|-3600|-3600,"Worship Street, Shoreditch",51.521668,-0.079608554,4,47,true,false,false,51,true,0
